Target affinity,Target logps,Predicted logps,Predicted qeds,Predicted sas,Predicted tpsas,Predicted affinity,key
-9.0,3.0,3.493400000000002,0.5331367801002475,2.288104185819936,72.94,-8.6,-9_3
-9.0,3.0,3.099940000000001,0.7055141212642709,2.8626307713755956,92.26,-8.8,-9_3
-9.0,3.0,3.018880000000001,0.6663601786434546,3.5693066055136757,100.83000000000001,-8.2,-9_3
-9.0,3.0,2.8553000000000006,0.4370742268811071,3.393596920338707,110.39999999999999,-9.1,-9_3
-9.0,3.0,3.183600000000002,0.8563125933245119,2.613099801988149,75.71000000000001,-8.5,-9_3
-9.0,3.0,3.4000400000000015,0.7245559783122071,2.3045847248969107,79.9,-9.0,-9_3
-9.0,3.0,2.9322000000000017,0.4514192224421832,2.4680709235373754,108.05000000000001,-8.4,-9_3
-9.0,3.0,2.962900000000001,0.7239136462926667,2.8632070034295953,80.37,-8.6,-9_3
-9.0,3.0,3.4783000000000035,0.6214669744078066,2.6303440424003455,70.33999999999999,-8.7,-9_3
-9.0,3.0,3.291480000000001,0.6881203819734921,3.1122665712189184,127.12,-8.1,-9_3
-9.0,3.0,3.3016000000000023,0.5202908137406754,3.488998009496221,96.58000000000001,-9.1,-9_3
-9.0,3.0,3.3549000000000024,0.8043512557486681,2.9206194683315285,61.750000000000014,-7.4,-9_3
-9.0,3.0,3.1466200000000013,0.6770988857041393,2.918292397775197,88.85,-9.1,-9_3
-9.0,3.0,2.7125000000000004,0.7274835644915852,2.973354695276882,78.52,-8.7,-9_3
-9.0,3.0,2.984700000000001,0.6649473072716564,2.3732271992442744,106.20000000000002,-7.9,-9_3
-9.0,3.0,3.149020000000001,0.5317856639349148,2.7011597280717865,84.14,-8.5,-9_3
-9.0,3.0,3.8645000000000023,0.5578469018759579,2.9677458530904275,73.55000000000001,-9.1,-9_3
-9.0,3.0,3.0515000000000017,0.7082338349909509,2.3404455193462077,93.2,-9.4,-9_3
-9.0,3.0,2.5227900000000005,0.20521156518862738,2.9966576005820666,153.79,-8.8,-9_3
-9.0,3.0,2.708500000000001,0.7367781920603429,3.421989392227063,80.64,-8.5,-9_3
-9.0,3.0,3.021700000000002,0.6242905953330568,1.8857518727691946,109.62,-8.4,-9_3
-9.0,3.0,3.086800000000001,0.4426726083860121,2.185309592512885,98.74000000000001,-9.6,-9_3
-9.0,3.0,3.1900200000000014,0.4780016380940774,2.3524990882177814,71.58000000000001,-9.3,-9_3
-9.0,3.0,3.327300000000001,0.707757207623931,2.9997302367188166,86.78999999999999,-8.2,-9_3
-9.0,3.0,3.3124400000000014,0.7619291231703424,2.45575762434248,59.81,-9.3,-9_3
-9.0,3.0,2.9338000000000015,0.4979980503788141,2.638070860041463,67.03,-9.1,-9_3
-9.0,3.0,3.0044399999999998,0.2086811670361195,2.6646619069942723,162.35999999999999,-7.7,-9_3
-9.0,3.0,3.2483200000000014,0.8747480736056943,3.5439476313023777,44.37,-7.8,-9_3
-9.0,3.0,2.892900000000002,0.8001618107856274,2.7761894785085772,78.51,-8.4,-9_3
-9.0,3.0,2.469500000000001,0.6710035361442114,3.309179821218536,89.97999999999999,-7.1,-9_3
-9.0,3.0,2.6926699999999997,0.3151146924146715,2.1408161704458983,148.35999999999999,-8.3,-9_3
-9.0,3.0,2.0596,0.3977098195663885,2.675543192607252,104.96000000000001,-8.2,-9_3
-9.0,3.0,3.4164400000000024,0.31990470136544485,2.6783288194612265,90.94,-8.6,-9_3
-9.0,3.0,2.6609000000000007,0.6392176685804157,2.249461689267708,114.63000000000001,-8.5,-9_3
-9.0,3.0,2.9651000000000014,0.68134920114664,2.252029536253591,72.83,-8.4,-9_3
-9.0,3.0,3.6884700000000015,0.06436608882759116,3.784374579953152,128.04999999999998,-8.4,-9_3
-9.0,3.0,2.6607000000000003,0.6292365618307207,2.1741152722022434,73.91,-8.1,-9_3
-9.0,3.0,2.590299999999999,0.6735399546957601,3.2782650900138544,104.86999999999999,-8.9,-9_3
-9.0,3.0,3.3080000000000025,0.6414410370014794,2.0649436765329625,49.74,-9.2,-9_3
-9.0,3.0,2.8813000000000013,0.6730085880459407,2.127529425691753,71.41,-8.7,-9_3
-9.0,3.0,2.63002,0.6869743749452664,3.696406397165253,97.39,-8.5,-9_3
-9.0,3.0,2.6152000000000006,0.4987230080988201,2.7159540500882446,117.05999999999999,-8.9,-9_3
-9.0,3.0,3.5213000000000028,0.5267114484611792,3.6221585162362544,61.660000000000004,-10.2,-9_3
-9.0,3.0,3.3576000000000015,0.6949690709320594,2.3524796331136937,49.410000000000004,-8.3,-9_3
-9.0,3.0,3.049500000000001,0.5580501542849795,2.1592910505954173,69.9,-8.6,-9_3
-9.0,3.0,2.878400000000001,0.6853650701045579,2.7776154746982726,83.55000000000001,-9.4,-9_3
-9.0,3.0,2.6603000000000003,0.6925711937844314,2.154232194089035,126.64,-8.6,-9_3
-9.0,3.0,3.1437000000000017,0.6927234563373255,3.0391166486036987,61.10000000000001,-8.4,-9_3
-9.0,3.0,2.8850000000000016,0.4715438348161081,3.1351578501617343,104.97,-8.6,-9_3
-9.0,3.0,3.0493000000000006,0.1678214790822657,3.400565510044549,132.63,-8.7,-9_3
-9.0,3.0,2.8763000000000014,0.5080215482643532,4.427489549907305,51.21,-9.1,-9_3
-9.0,3.0,3.8056800000000024,0.49475460648942393,3.108490955617147,95.12,-8.4,-9_3
-9.0,3.0,3.6320000000000023,0.30691410353833226,3.8557481217789826,110.26,-8.8,-9_3
-9.0,3.0,2.7976,0.6104026442814217,2.8957497308131295,95.64999999999999,-8.7,-9_3
-9.0,3.0,2.5524000000000004,0.5647364035652824,2.13579312664943,124.16,-7.8,-9_3
-9.0,3.0,2.82062,0.7727604644705584,2.17202126552848,93.79,-9.7,-9_3
-9.0,3.0,2.4762000000000004,0.6977159350098591,2.638856476410984,97.3,-8.4,-9_3
-9.0,3.0,3.6514000000000024,0.5015521204109902,3.675704779870479,91.26000000000002,-8.6,-9_3
-9.0,3.0,2.777400000000001,0.41081519331314237,2.9705025394310045,110.28,-8.7,-9_3
-9.0,3.0,3.0050000000000017,0.7317757149322692,2.1078374894636625,55.2,-9.0,-9_3
-9.0,3.0,2.6735000000000007,0.2243061491686982,3.3220596419993242,132.55,-9.2,-9_3
-9.0,3.0,2.887900000000001,0.28413675264344007,2.9728183713899163,58.2,-8.8,-9_3
-9.0,3.0,0.7361999999999995,0.835526322414503,3.3334915450654927,76.19,-7.7,-9_3
-9.0,3.0,2.937540000000001,0.7219519428534464,2.2082053021107093,114.44000000000001,-7.9,-9_3
-9.0,3.0,3.218700000000001,0.9365788405053169,3.11813512901381,71.58,-8.8,-9_3
-9.0,3.0,3.145000000000002,0.7976209240500212,2.6824548523549705,79.73,-9.2,-9_3
-9.0,3.0,2.5445,0.6936265510466414,2.9674221447857665,101.63,-9.2,-9_3
-9.0,3.0,2.9210800000000017,0.6346963354154753,2.4374027528677384,95.32,-8.6,-9_3
-9.0,3.0,2.823920000000001,0.7625227825505804,2.2308470573836843,71.33,-9.3,-9_3
-9.0,3.0,2.5794000000000006,0.8760103834797436,3.27253959004823,39.34,-8.5,-9_3
-9.0,3.0,3.169100000000002,0.4855178977601266,2.273999741050293,125.08000000000001,-7.9,-9_3
-9.0,3.0,2.6722,0.7399254555158391,2.496951016396423,68.73000000000002,-9.0,-9_3
-9.0,3.0,3.7961000000000027,0.5086030516996896,2.8843806903685323,116.88999999999999,-8.0,-9_3
-9.0,3.0,3.1690200000000015,0.3546801853142323,3.620682647870394,97.79,-9.0,-9_3
-9.0,3.0,3.079200000000001,0.5081608619895835,2.7796681563401417,91.46000000000001,-8.7,-9_3
-9.0,3.0,3.2845000000000013,0.879142755959699,2.090619493253554,68.53999999999999,-7.6,-9_3
-9.0,3.0,3.2383000000000015,0.5696194231542548,3.923363375742646,94.17000000000002,-7.9,-9_3
-9.0,3.0,4.4329000000000045,0.7017265689955582,3.589218324662424,21.59,-9.3,-9_3
-9.0,3.0,2.7858,0.39419600073160893,2.604215509552281,123.9,-8.7,-9_3
-9.0,3.0,2.9319000000000015,0.8739359343234169,2.677396815421007,47.56,-8.8,-9_3
-9.0,3.0,3.213400000000002,0.5499182928069682,2.3088808555871605,73.97,-8.6,-9_3
-9.0,5.0,6.020500000000006,0.4085691253316252,2.9863165318095657,54.18000000000001,-8.7,-9_5
